REPORTER_STATE,BUYER_STATE,DRUG_NAME,YEAR,sum(DOSAGE_UNIT)
MS,AL,OXYCODONE,2016,12920570.0
NC,AL,OXYCODONE,2019,195800.0
GA,TX,OXYCODONE,2016,7000.0
AL,TX,OXYCODONE,2015,23900.0
OK,TX,OXYCODONE,2016,11992230.0
LA,TX,OXYCODONE,2019,2072180.0
NY,TX,HYDROCODONE,2019,579500.0
AR,TX,HYDROCODONE,2015,54292400.0
NY,IA,OXYCODONE,2015,400.0
IL,IA,HYDROCODONE,2016,1561100.0
AR,IA,HYDROCODONE,2015,6921000.0
PA,IA,OXYCODONE,2016,1800.0
KS,IA,HYDROCODONE,2016,19200.0
WI,IA,OXYCODONE,2018,8800.0
LA,LA,HYDROCODONE,2018,27429420.0
TX,IA,HYDROCODONE,2019,11600.0
WI,IA,OXYCODONE,2019,10100.0
AR,LA,HYDROCODONE,2019,172200.0
MS,LA,HYDROCODONE,2015,10317490.0
MS,LA,OXYCODONE,2015,5627440.0
TN,LA,OXYCODONE,2015,1534960.0
AZ,LA,OXYCODONE,2015,11100.0
MN,LA,OXYCODONE,2019,28600.0
NY,LA,HYDROCODONE,2015,12100.0
AL,LA,HYDROCODONE,2015,3128400.0
KY,LA,OXYCODONE,2018,9100.0
IN,LA,OXYCODONE,2016,100.0
NY,LA,HYDROCODONE,2016,3600.0
TX,LA,HYDROCODONE,2016,56466740.0
GA,MS,HYDROCODONE,2015,2181540.0
KY,MS,HYDROCODONE,2017,2029660.0
GA,MS,OXYCODONE,2016,719570.0
TN,MS,OXYCODONE,2017,6142030.0
AZ,MS,HYDROCODONE,2015,200.0
MS,MS,HYDROCODONE,2019,23948740.0
MS,MS,HYDROCODONE,2015,14481040.0
MS,MS,OXYCODONE,2018,13962110.0
AR,MS,HYDROCODONE,2018,5448280.0
OH,MN,HYDROCODONE,2018,3560.0
IL,MN,HYDROCODONE,2015,2952000.0
IL,MN,OXYCODONE,2019,3142300.0
MS,MN,OXYCODONE,2016,83300.0
MO,LA,HYDROCODONE,2017,100.0
IL,MN,HYDROCODONE,2018,1867600.0
TN,MN,HYDROCODONE,2018,46700.0
OH,MN,OXYCODONE,2017,3320.0
MS,MN,OXYCODONE,2019,125500.0
AL,MS,OXYCODONE,2008,3618820.0
OH,MS,OXYCODONE,2016,200.0
FL,MN,OXYCODONE,2018,100.0
LA,MS,HYDROCODONE,2013,8151670.0
KY,MS,HYDROCODONE,2011,8020610.0
FL,MS,HYDROCODONE,2012,2958550.0
GA,MS,HYDROCODONE,2014,4903450.0
MO,MS,HYDROCODONE,2013,459160.0
GA,MS,HYDROCODONE,2008,2071180.0
SC,MS,HYDROCODONE,2014,900270.0
AR,MS,OXYCODONE,2008,2581500.0
LA,MS,OXYCODONE,2013,3093590.0
TX,MS,HYDROCODONE,2009,141700.0
GA,MS,OXYCODONE,2014,1092980.0
AL,MS,HYDROCODONE,2012,31591760.0
AR,OK,HYDROCODONE,2018,6580360.0
FL,OK,HYDROCODONE,2016,2200.0
GA,OK,HYDROCODONE,2018,83100.0
MS,OK,OXYCODONE,2017,514900.0
PA,OK,HYDROCODONE,2017,18200.0
CA,OK,HYDROCODONE,2017,200560.0
GA,OK,HYDROCODONE,2015,104500.0
TX,OK,OXYCODONE,2017,18708910.0
AZ,OK,HYDROCODONE,2017,271300.0
AZ,OK,OXYCODONE,2017,66600.0
MI,OK,OXYCODONE,2018,1700.0
PA,OK,HYDROCODONE,2018,14900.0
MO,OK,HYDROCODONE,2015,20655420.0
LA,OK,HYDROCODONE,2019,4870980.0
GA,TX,HYDROCODONE,2017,394640.0
KY,TX,OXYCODONE,2016,2500.0
TX,TX,OXYCODONE,2008,18615920.0
NY,TX,HYDROCODONE,2012,3964230.0
CA,TX,HYDROCODONE,2013,3079265.0
AZ,TX,OXYCODONE,2014,1011830.0
MI,TX,OXYCODONE,2012,58300.0
NJ,TX,HYDROCODONE,2007,154153.0
TX,TX,OXYCODONE,2006,14663485.0
MI,TX,HYDROCODONE,2014,2375200.0
MO,TX,HYDROCODONE,2008,1390400.0
KY,TX,HYDROCODONE,2007,1840000.0
PA,TX,HYDROCODONE,2013,369873.0
NC,TX,HYDROCODONE,2010,262000.0
VT,MA,OXYCODONE,2016,764500.0
PA,MA,HYDROCODONE,2015,4700.0
AL,MA,OXYCODONE,2016,78400.0
TN,MA,OXYCODONE,2015,13100.0
CT,MA,HYDROCODONE,2016,5428660.0
AR,MA,HYDROCODONE,2016,978500.0
AL,MA,HYDROCODONE,2016,25400.0
MO,MA,OXYCODONE,2019,520.0
MS,MA,HYDROCODONE,2016,7900.0
PA,MA,OXYCODONE,2016,1000.0
CA,MA,HYDROCODONE,2018,3700.0
WI,IN,HYDROCODONE,2019,17000.0
MI,IN,OXYCODONE,2015,5203960.0
IL,IN,OXYCODONE,2015,49705680.0
OH,IN,OXYCODONE,2018,5877540.0
PA,IN,HYDROCODONE,2018,2000.0
OH,IN,OXYCODONE,2019,475680.0
KY,IN,HYDROCODONE,2019,107600.0
IL,IN,OXYCODONE,2016,49722940.0
IN,IN,OXYCODONE,2015,1100.0
IN,IN,HYDROCODONE,2017,16331110.0
KS,IN,OXYCODONE,2018,2400.0
CO,SD,HYDROCODONE,2008,226300.0
NY,SD,HYDROCODONE,2014,23500.0
AR,OK,HYDROCODONE,2008,37252340.0
OK,SD,HYDROCODONE,2007,35800.0
OH,SD,HYDROCODONE,2012,437380.0
CA,SD,OXYCODONE,2008,549200.0
FL,SD,OXYCODONE,2008,1200.0
KY,OK,OXYCODONE,2010,13600.0
CA,SD,HYDROCODONE,2013,6720.0
SC,SD,HYDROCODONE,2006,42300.0
IN,SD,HYDROCODONE,2012,1780800.0
AR,OK,OXYCODONE,2009,4741800.0
TN,SD,HYDROCODONE,2013,81100.0
OK,OK,HYDROCODONE,2006,27844235.0
WI,SD,OXYCODONE,2010,984880.0
LA,OK,HYDROCODONE,2011,11408190.0
OH,OK,OXYCODONE,2010,10630560.0
AR,SD,OXYCODONE,2006,406400.0
MO,SD,HYDROCODONE,2009,11200.0
LA,OK,OXYCODONE,2008,2279760.0
FL,SD,HYDROCODONE,2010,19000.0
AR,OK,OXYCODONE,2012,5515000.0
KY,MA,OXYCODONE,2018,200.0
FL,MA,HYDROCODONE,2015,5200.0
KY,OH,HYDROCODONE,2016,1988450.0
GA,OH,HYDROCODONE,2015,44600.0
AR,OH,OXYCODONE,2015,16196300.0
CA,OH,HYDROCODONE,2017,5020.0
CA,WA,HYDROCODONE,2018,205800.0
WA,WA,OXYCODONE,2016,104387030.0
AZ,WA,HYDROCODONE,2018,97510.0
SC,WA,HYDROCODONE,2018,1500.0
OR,WA,OXYCODONE,2015,12482600.0
TN,WA,HYDROCODONE,2016,1828300.0
FL,WA,HYDROCODONE,2019,23930.0
KY,WA,OXYCODONE,2015,300.0
FL,WA,OXYCODONE,2019,500.0
AZ,WA,HYDROCODONE,2017,57770.0
PR,PR,OXYCODONE,2011,8461040.0
OH,PR,HYDROCODONE,2006,9500.0
CA,PR,HYDROCODONE,2012,12480.0
MN,KS,HYDROCODONE,2019,78000.0
OH,PR,HYDROCODONE,2010,1500.0
MS,KS,HYDROCODONE,2019,210860.0
SC,PR,HYDROCODONE,2012,4400.0
KY,KS,HYDROCODONE,2015,13880.0
PA,KS,OXYCODONE,2016,8900.0
LA,KS,HYDROCODONE,2016,520500.0
CA,KS,HYDROCODONE,2019,300.0
NC,KS,OXYCODONE,2019,300.0
MN,KS,HYDROCODONE,2015,222820.0
MO,LA,HYDROCODONE,2014,2700.0
MO,LA,HYDROCODONE,2012,2000.0
FL,MS,HYDROCODONE,2018,65500.0
IN,MS,OXYCODONE,2017,100.0
CO,MT,OXYCODONE,2013,2893440.0
WA,MT,OXYCODONE,2010,318000.0
FL,MT,HYDROCODONE,2013,212300.0
IN,MT,HYDROCODONE,2014,692300.0
OR,MT,OXYCODONE,2011,173000.0
WI,MT,HYDROCODONE,2010,2100.0
ND,MT,OXYCODONE,2008,361700.0
OR,MT,HYDROCODONE,2011,384000.0
WA,MT,OXYCODONE,2006,279600.0
WA,MT,HYDROCODONE,2009,410100.0
IL,MT,HYDROCODONE,2010,2826900.0
NY,OH,OXYCODONE,2018,762500.0
AL,NE,OXYCODONE,2015,6700.0
CO,NE,HYDROCODONE,2015,1322120.0
AR,NE,HYDROCODONE,2017,3288600.0
AZ,NE,OXYCODONE,2019,500.0
KS,NE,OXYCODONE,2017,15600.0
OK,NE,HYDROCODONE,2018,7800.0
IA,NE,OXYCODONE,2019,4505770.0
IN,NE,HYDROCODONE,2017,200.0
OH,OR,OXYCODONE,2019,400.0
TN,OR,OXYCODONE,2016,724150.0
TN,OR,OXYCODONE,2019,363100.0
OH,OR,OXYCODONE,2017,400.0
UT,OR,OXYCODONE,2018,496220.0
OK,OR,HYDROCODONE,2017,6650.0
KS,OR,HYDROCODONE,2018,15700.0
KY,OR,HYDROCODONE,2019,100.0
KS,OR,HYDROCODONE,2019,16300.0
IN,OR,HYDROCODONE,2017,650.0
MO,OR,HYDROCODONE,2017,1300.0
SC,OR,HYDROCODONE,2019,200.0
SC,GA,OXYCODONE,2013,4825040.0
FL,GA,HYDROCODONE,2011,17628920.0
MI,GA,OXYCODONE,2009,142100.0
MI,GA,OXYCODONE,2013,108900.0
CA,GA,HYDROCODONE,2007,245964.0
CT,GA,HYDROCODONE,2006,46000.0
SC,GA,HYDROCODONE,2013,31730400.0
OH,AZ,HYDROCODONE,2008,1838186.0
TX,AZ,HYDROCODONE,2006,3304500.0
NY,AZ,HYDROCODONE,2011,38200.0
CA,AZ,HYDROCODONE,2007,54428560.0
MI,AZ,HYDROCODONE,2009,140400.0
SC,AZ,HYDROCODONE,2009,9800.0
AR,AZ,OXYCODONE,2007,4976500.0
AR,AZ,OXYCODONE,2013,9016900.0
FL,AZ,HYDROCODONE,2011,48600.0
AR,AZ,OXYCODONE,2011,8555000.0
PA,AZ,OXYCODONE,2012,32054.0
AR,AZ,OXYCODONE,2009,7641600.0
IL,AZ,HYDROCODONE,2013,38485.0
AL,AZ,HYDROCODONE,2011,1273000.0
PA,AZ,HYDROCODONE,2012,44389.0
SC,OR,OXYCODONE,2016,100.0
FL,NV,HYDROCODONE,2017,17000.0
AR,NV,OXYCODONE,2015,6916000.0
GA,NV,OXYCODONE,2018,19700.0
CA,NV,OXYCODONE,2016,37929690.0
UT,NV,OXYCODONE,2017,1119650.0
CA,NV,HYDROCODONE,2019,27960650.0
SC,NV,OXYCODONE,2019,1100.0
AR,NV,OXYCODONE,2017,5834700.0
OK,NV,OXYCODONE,2016,1228400.0
MS,NV,OXYCODONE,2017,300.0
AR,CT,HYDROCODONE,2017,530400.0
FL,CT,HYDROCODONE,2019,3800.0
MI,CT,OXYCODONE,2017,1200.0
SC,CT,HYDROCODONE,2019,17000.0
IN,CT,HYDROCODONE,2017,1000.0
KS,CT,HYDROCODONE,2015,2200.0
NJ,CT,HYDROCODONE,2017,20500.0
PA,CT,HYDROCODONE,2017,3900.0
PA,CT,HYDROCODONE,2015,5300.0
NY,CT,HYDROCODONE,2016,496740.0
OH,NM,HYDROCODONE,2011,840620.0
MO,NM,HYDROCODONE,2014,210700.0
AL,NM,OXYCODONE,2010,9700.0
TX,NM,HYDROCODONE,2006,824500.0
AZ,NM,OXYCODONE,2007,12870600.0
MI,NM,HYDROCODONE,2013,3200.0
LA,NM,OXYCODONE,2014,97800.0
TN,NM,HYDROCODONE,2006,178800.0
LA,NM,OXYCODONE,2008,34100.0
PA,NM,HYDROCODONE,2006,10020.0
AR,NM,HYDROCODONE,2014,1536600.0
AL,NM,HYDROCODONE,2006,1030670.0
MS,NM,HYDROCODONE,2009,60.0
AZ,NM,HYDROCODONE,2008,27711575.0
MO,NM,OXYCODONE,2012,301400.0
CA,NM,OXYCODONE,2010,12517600.0
AL,KY,OXYCODONE,2013,471000.0
PA,KY,HYDROCODONE,2007,64360.0
OH,KY,HYDROCODONE,2011,57154300.0
CA,KS,OXYCODONE,2016,300.0
OH,KY,HYDROCODONE,2009,49985240.0
OH,KY,OXYCODONE,2008,27208380.0
FL,KY,HYDROCODONE,2014,277700.0
IL,KY,HYDROCODONE,2010,26898100.0
AL,KY,OXYCODONE,2012,375000.0
IL,KY,OXYCODONE,2007,252400.0
CA,KY,HYDROCODONE,2006,36745.0
OH,KY,OXYCODONE,2012,37719040.0
IL,TX,HYDROCODONE,2019,6120.0
AZ,AZ,OXYCODONE,2017,123459990.0
OH,AZ,OXYCODONE,2015,1423800.0
OH,AZ,OXYCODONE,2018,1100.0
PA,AZ,OXYCODONE,2016,11200.0
NY,AZ,HYDROCODONE,2017,411000.0
KS,AZ,HYDROCODONE,2017,16500.0
IL,WI,OXYCODONE,2012,33996280.0
IL,WI,OXYCODONE,2006,20586060.0
IL,WI,HYDROCODONE,2008,27446699.0
MN,WI,OXYCODONE,2008,571115.0
KY,AZ,HYDROCODONE,2017,80.0
IL,WI,OXYCODONE,2011,33106980.0
MN,WI,OXYCODONE,2011,1265245.0
OH,WI,OXYCODONE,2013,8373530.0
AL,WI,HYDROCODONE,2014,632000.0
MI,WI,HYDROCODONE,2007,71100.0
IN,CT,OXYCODONE,2018,300.0
OH,WI,OXYCODONE,2006,795820.0
CA,WI,HYDROCODONE,2010,74355.0
IN,WI,HYDROCODONE,2010,14274275.0
OH,WI,OXYCODONE,2007,21601220.0
FL,WI,HYDROCODONE,2010,129200.0
WI,CT,HYDROCODONE,2016,100.0
FL,WI,HYDROCODONE,2008,402600.0
IA,WI,HYDROCODONE,2012,20300.0
CT,DC,HYDROCODONE,2009,400.0
FL,DC,HYDROCODONE,2010,74200.0
OH,DC,OXYCODONE,2010,83200.0
SC,CO,HYDROCODONE,2017,5200.0
MS,CO,OXYCODONE,2019,64600.0
OH,DC,OXYCODONE,2011,201900.0
TN,CO,HYDROCODONE,2016,431000.0
TN,CO,HYDROCODONE,2015,424580.0
NY,CO,OXYCODONE,2017,70200.0
SC,DC,HYDROCODONE,2013,37190.0
IN,DC,HYDROCODONE,2006,630.0
AR,CO,HYDROCODONE,2017,6770700.0
AR,CO,HYDROCODONE,2015,8438600.0
CO,CO,OXYCODONE,2015,74943620.0
OR,ID,OXYCODONE,2011,1069600.0
UT,ID,HYDROCODONE,2011,14487760.0
OR,ID,OXYCODONE,2009,496780.0
IN,WA,HYDROCODONE,2010,16200.0
KS,WA,HYDROCODONE,2010,4500.0
CA,ID,OXYCODONE,2006,825300.0
AR,ID,OXYCODONE,2012,1224100.0
MO,ID,OXYCODONE,2012,26900.0
CA,WA,HYDROCODONE,2012,50411630.0
NY,WA,HYDROCODONE,2010,98300.0
IN,ID,HYDROCODONE,2014,4705.0
TN,ID,HYDROCODONE,2011,82460.0
KY,ID,HYDROCODONE,2009,5200.0
IL,ID,HYDROCODONE,2013,1257730.0
OH,WA,OXYCODONE,2014,2783100.0
KS,WA,OXYCODONE,2010,200.0
AZ,ID,HYDROCODONE,2007,1773900.0
IL,ID,HYDROCODONE,2010,5225630.0
NY,ID,OXYCODONE,2007,5300.0
PA,ID,OXYCODONE,2013,3190.0
KY,TX,OXYCODONE,2018,15500.0
